"Model Range","Drivetrain Category","country_code","WEB","CRM","SALES","PRED"
"G61","NON-BEV","GB","0","0",0," "
"G61","NON-BEV","IT","  NVWR  ","'-3",0,"C"
"G61","NON-BEV","FR","0","0",0," "
"G61","NON-BEV","BELUX","NVWR","0",0," "
"G61","NON-BEV","ES","1","0",0," "
"G61","NON-BEV","NL","'-3","'-3",0," "
"G61","NON-BEV","CS","NVWR","'-2",-3,"R"
"G61","NON-BEV","KR","0","0",0," "
"G61","NON-BEV","JP","0","0",1," "
"I20","BEV","DE","0","0",0," "
"I20","BEV","GB","0","0",0,"C"
"I20","BEV","IT"," NVWR ","'-1",0," "
"I20","BEV","FR","0","0",0," "
"I20","BEV","BELUX","0","0",0," "
"I20","BEV","ES"," NVWR ","'-3",0," "
"I20","BEV","NL","1","'-3",0," "
"I20","BEV","CS","NVWR","'-3",0," "
"I20","BEV","KR","0","'-1",0," "
"I20","BEV","JP","0","0",0," "
"I20","BEV","US","0","0",0," "
"G05","NON-BEV","DE","  NVWR  ","0",0,"C"
"G05","NON-BEV","GB","  NVWR  ","'-3",0,"R"
"G05","NON-BEV","IT","0","0",0," "
"G05","NON-BEV","FR","0","0",0," "
"G05","NON-BEV","BELUX","0","0",0," "
"G05","NON-BEV","ES","0","0",0,"C"
"G05","NON-BEV","NL","NVWR","'-3",0,"R"
"G05","NON-BEV","CS","'-3","'-2",-3,"R"
"G05","NON-BEV","KR","1","'-3",0," "
"G05","NON-BEV","JP","0","0",1," "
"G05","NON-BEV","US","1","'-3",0," "
"G70","BEV","DE","0","0",0," "
"G70","BEV","GB","0","0",-2," "
"G70","BEV","IT","'-3","'-2",1," "
"G70","BEV","FR","0","0",0," "
"G70","BEV","BELUX","  IWVV  ","0",1," "
"G70","BEV","ES","'-3","'-3",-2," "
"G70","BEV","NL","0","0",0," "
"G70","BEV","CS","0","0",0," "
"G70","BEV","KR","0","0",-2,"R"
"G70","BEV","JP","0","1",0," "
"G70","BEV","US","0","'-3",-3,"R"
"G70","NON-BEV","DE","0","0",1," "
"G70","NON-BEV","GB","0","'-1",-1," "
"G70","NON-BEV","IT","0","1",-1," "
"G70","NON-BEV","FR","0","0",0," "
"G70","NON-BEV","BELUX","0","0",0," "
"G70","NON-BEV","ES","0","1",0," "
"G70","NON-BEV","NL","0","0",0," "
"G70","NON-BEV","CS","0","0",0,"R"
"G70","NON-BEV","KR","0","0",-2,"R"
"G70","NON-BEV","JP","0","0",1," "
"G70","NON-BEV","US","0","'-2",0,"R"
"G09","NON-BEV","DE","0","'-1",0,"C"
"G09","NON-BEV","GB","0","0",-3," "
"G09","NON-BEV","IT","0","1",0," "
"G09","NON-BEV","FR","0","0",0," "
"G09","NON-BEV","BELUX","0","0",0," "
"G09","NON-BEV","ES","NVWR","'-3",0," "
"G09","NON-BEV","NL","0","0",0," "
"G09","NON-BEV","CS","  IWVV  ","0",-3," "
"G09","NON-BEV","KR","0","'-3",-3," "
"G09","NON-BEV","JP","0","0",1," "
"G09","NON-BEV","US","'-2","'-3",-1,"R"
"G07","NON-BEV","DE","  NVWR  ","'-1",1,"C"
"G07","NON-BEV","GB","0","'-3",0,"R"
"G07","NON-BEV","IT","  IWVV  ","0",1," "
"G07","NON-BEV","FR","0","0",0," "
"G07","NON-BEV","BELUX","0","0",0," "
"G07","NON-BEV","ES","0","'-3",0," "
"G07","NON-BEV","NL","1","0",0," "
"G07","NON-BEV","CS","1","1",-3,"C"
"G07","NON-BEV","KR","0","'-3",0," "
"G07","NON-BEV","JP","0","'-1",-2," "
"G07","NON-BEV","US","NVWR","'-3",-3,"R"
