"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,6
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",1,4
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,18
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,5
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","GKL+","XM","G09","NON-BEV","11CS",,9
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","GKL+","XM","G09","NON-BEV","11CS",,1
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","GKL+","XM","G09","NON-BEV","11CS",,14
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","GKL+","XM","G09","NON-BEV","11CS",103,18
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","GKL+","XM","G09","NON-BEV","11CS",,23
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","GKL+","XM","G09","NON-BEV","11CS",,11
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,1
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","GKL+","XM","G09","NON-BEV","11CS",,10
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","GKL+","XM","G09","NON-BEV","11CS",,16
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,7
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","GKL+","XM","G09","NON-BEV","11CS",,15
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","GKL+","XM","G09","NON-BEV","11CS",,5
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,3
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","GKL+","XM","G09","NON-BEV","11CS",,12
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,5
